system:index,B11,B4,B5,B8,EVI,NDRE,NDVI,NDWI,date,.geo
20220410T081559_20220410T084842_T34HCJ,0.24957832461185847,0.10345775444359818,0.13054113728639297,0.18603506427982006,0.15333708144483493,0.17700854751003725,0.30241776926641734,-0.1597703843918808,2022-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220425T081611_20220425T084623_T34HCJ,0.2549985720981827,0.13004434504226617,0.15744749462913465,0.21141571535311857,0.15539778691713563,0.1647226799782113,0.27885559973837465,-0.11285630713101336,2022-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430T081559_20220430T084506_T34HCH,0.21315707772526857,0.08363232482477194,0.10912267857137256,0.16348748537681324,0.1500750518193202,0.20876667320498482,0.3516026582098692,-0.15049768639482636,2022-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430T081559_20220430T084506_T34HCJ,0.23629233201527755,0.09442502439205525,0.12031883575228192,0.17494218188910962,0.1480720143057887,0.18924877526051143,0.31785600553324966,-0.164374265485078,2022-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505T081611_20220505T084619_T34HCH,0.20919971861621725,0.08303492495887053,0.10829796990320834,0.16405300479630425,0.1465270575568124,0.2154454409836861,0.35980808556062277,-0.14175725973735037,2022-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505T081611_20220505T084619_T34HCJ,0.23456692811126112,0.09652023577544461,0.12209584950937886,0.17768812793165603,0.14534134375411198,0.18552137353113532,0.30832231727441134,-0.15086341537246384,2022-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515T081611_20220515T083854_T34HCH,0.19924750477384695,0.07860871140517534,0.1041298363341664,0.15633700823996835,0.14160433055575034,0.21369408845344653,0.3675820874724654,-0.13853417032012513,2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515T081611_20220515T083854_T34HCJ,0.22420499773848143,0.0905352824469161,0.11609931434504409,0.16905956815209483,0.1407114070203928,0.18966597825338088,0.3218756117020546,-0.1548163056084208,2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220520T081559_20220520T084020_T34HCH,0.18137863982243874,0.0720538523184271,0.09602675452705117,0.15034850452893966,0.14755585367910493,0.23791095508883547,0.39532001154290913,-0.10293997477549612,2022-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220520T081559_20220520T084020_T34HCJ,0.2101110360771735,0.08622442109799337,0.11022368889998274,0.16499804943708266,0.14593543519400443,0.20217721641013492,0.3304120029155122,-0.1271768082823694,2022-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220530T081609_20220530T084017_T34HCH,0.17238914941268568,0.06637377689127137,0.08835372252808418,0.1406462379404747,0.14060237092639477,0.2724361949311226,0.4222520854363035,-0.13179286723151426,2022-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220530T081609_20220530T084017_T34HCJ,0.1928209706153077,0.07675704330290302,0.09914271752206358,0.15177449335939086,0.1398555110898356,0.23119370718875698,0.3648863480341931,-0.14472824474492293,2022-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220604T081611_20220604T083858_T34HCH,0.19109018260359872,0.07831103963230852,0.10193489649029114,0.15330704603654194,0.13733797849475407,0.2078297717609949,0.35087736134461683,-0.11301119346347085,2022-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220604T081611_20220604T083858_T34HCJ,0.21517878419172373,0.08909141042087977,0.11227212028871207,0.16363287008500488,0.13455966405359931,0.18766740541593877,0.3082788720730257,-0.14017712926111559,2022-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220609T081609_20220609T084019_T34HCH,0.19182991961179655,0.0757410974708877,0.09780674718732857,0.14992719613344185,0.1397320038375379,0.2377999181046358,0.38430789504517965,-0.13192452693641402,2022-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220609T081609_20220609T084019_T34HCJ,0.21875559253828333,0.08949300906702116,0.11154525483081533,0.16367847073449565,0.13769005386656658,0.19854551426965905,0.316497754532038,-0.1511754820973718,2022-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220619T081609_20220619T084025_T34HCJ,0.15471797556752273,0.07771423467600154,0.09938576449670532,0.14560440183090376,0.42279560696908103,0.21939801515629795,0.36561348134416116,-0.05923131630819424,2022-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220624T081621_20220624T083902_T34HCH,0.14416801067313254,0.060465021311641824,0.08206276628084656,0.12810364076347985,0.13008848783055613,0.2461001493893163,0.41993658407655854,-0.07463840800094627,2022-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220624T081621_20220624T083902_T34HCJ,0.16508624054123147,0.07061563293569367,0.09292273593114533,0.14026432426879432,-0.247250927596996,0.21486423536187532,0.36236053600111984,-0.09849702076088417,2022-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220629T081609_20220629T084026_T34HCH,0.1785904806634531,0.06858834802994257,0.08957705321103274,0.14027096218580853,0.14044478805134636,0.24680812823553452,0.39451902852383613,-0.11774203568399802,2022-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220629T081609_20220629T084026_T34HCJ,0.20104351576666538,0.07971653711821977,0.10211701303075167,0.15347520083473573,0.142673084067214,0.20440670510695055,0.3316167730176586,-0.13700284029730492,2022-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T081621_20220704T083903_T34HCH,0.17039954477884459,0.07259780487787192,0.09530241970174363,0.1454027057839151,0.13814570038856389,0.23822623733305037,0.40170076267239224,-0.07611547832266588,2022-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704T081621_20220704T083903_T34HCJ,0.20086951230459363,0.10116302205083973,0.12436579370276218,0.17400193442374587,1.7184363246067467,0.20181054727112305,0.3343123972387224,-0.08487893210227583,2022-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220724T081611_20220724T083900_T34HCH,0.20881081734602558,0.10835582482827551,0.13212388161608027,0.1814260048607309,0.14208182852895662,0.20299776496600733,0.33581600312423626,-0.08563558076836673,2022-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220724T081611_20220724T083900_T34HCJ,0.21908961067126498,0.10659261943968994,0.13190743682681358,0.1882096833688442,0.1548080458568159,0.19787619081151778,0.32485757368222457,-0.0971624580628303,2022-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220808T081609_20220808T084024_T34HCH,0.20464229033651612,0.08008664701201276,0.10348539848797103,0.1598734918426538,0.1532759097253554,0.22749431618862181,0.3695975718764603,-0.12616460017164133,2022-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220808T081609_20220808T084024_T34HCJ,0.2206961560230626,0.08616709157396295,0.11185044848957999,0.1754691949841823,0.1681883820039715,0.2166143226671364,0.34809925663463315,-0.128546228503388,2022-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220813T081621_20220813T083902_T34HCH,0.20941641652980839,0.10660838185488304,0.13140617829953516,0.18369754526836704,-3.509131016108436,0.19963391043616033,0.33177229138143155,-0.08001578683580238,2022-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220813T081621_20220813T083902_T34HCJ,0.2278560289809054,0.12051781506077769,0.14748507377399994,0.20657845886677215,0.8766071846096105,0.19502849177937856,0.32050621620251485,-0.07542158958581091,2022-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220823T081621_20220823T083900_T34HCH,0.20838766023899413,0.08146160147288606,0.10647598580490258,0.16087350236298031,0.14853155997603643,0.21137722154256264,0.35420441121277013,-0.1369082173187817,2022-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220823T081621_20220823T083900_T34HCJ,0.21938996790309925,0.0860593239499926,0.1134493217383304,0.176051016502129,0.16565355211256177,0.20736414115625412,0.34366683747278626,-0.12637947006164668,2022-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220828T081609_20220828T084020_T34HCJ,0.23263317004150383,0.0996105731673692,0.12551006503665527,0.19456989745276126,0.3416304571535509,0.2154534446429621,0.33566123579761215,-0.1076775967035065,2022-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220907T081609_20220907T083833_T34HCH,0.2158511670920338,0.09602078854139745,0.12008364196375604,0.18001485640601148,2.1130791538751734,0.21411403318661457,0.3362650389747861,-0.10324775661086442,2022-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220907T081609_20220907T083833_T34HCJ,0.22289622606224735,0.10045460013835195,0.12688933311528924,0.19586519023921004,2.681573069428993,0.2119585541733989,0.3328365917774066,-0.0856438745142261,2022-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220912T081611_20220912T083900_T34HCJ,0.23585293363312462,0.09719920261298172,0.12488151675051005,0.19422246399898577,0.03405414648727165,0.20548349221148376,0.326765769073371,-0.11170375614070106,2022-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220922T081641_20220922T084008_T34HCH,0.24163351254336224,0.09955000598783455,0.12579903156051755,0.18665906813069846,0.15912868973626063,0.19577441082175426,0.3160944743394464,-0.13833997838192574,2022-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
